file                                        format  type    num_seqs        sum_len  min_len  avg_len  max_len
output/micro_fastq/micro_IG074_R2.fastq.gz  FASTQ   DNA   27,015,788  4,067,817,417       36    150.6      151
output/micro_fastq/micro_IG075_R1.fastq.gz  FASTQ   DNA   28,848,676  4,346,331,703       36    150.7      151
output/micro_fastq/micro_IG075_R2.fastq.gz  FASTQ   DNA   28,848,676  4,346,337,759       36    150.7      151
output/micro_fastq/micro_IG076_R1.fastq.gz  FASTQ   DNA   24,938,755  3,758,631,107       36    150.7      151
output/micro_fastq/micro_IG076_R2.fastq.gz  FASTQ   DNA   24,938,755  3,758,636,529       36    150.7      151
output/micro_fastq/micro_IG077_R1.fastq.gz  FASTQ   DNA   23,760,017  3,580,686,963       36    150.7      151
output/micro_fastq/micro_IG077_R2.fastq.gz  FASTQ   DNA   23,760,017  3,580,692,191       36    150.7      151
output/micro_fastq/micro_IG078_R1.fastq.gz  FASTQ   DNA   23,730,614  3,576,522,181       36    150.7      151
output/micro_fastq/micro_IG078_R2.fastq.gz  FASTQ   DNA   23,730,614  3,576,527,168       36    150.7      151
output/micro_fastq/micro_IG079_R1.fastq.gz  FASTQ   DNA   17,739,788  2,672,716,987       36    150.7      151
output/micro_fastq/micro_IG079_R2.fastq.gz  FASTQ   DNA   17,739,788  2,672,720,581       36    150.7      151
output/micro_fastq/micro_IG080_R1.fastq.gz  FASTQ   DNA   21,097,185  3,174,586,755       36    150.5      151
output/micro_fastq/micro_IG080_R2.fastq.gz  FASTQ   DNA   21,097,185  3,174,591,131       36    150.5      151
output/micro_fastq/micro_IG081_R1.fastq.gz  FASTQ   DNA   11,105,064  1,673,373,912       36    150.7      151
output/micro_fastq/micro_IG081_R2.fastq.gz  FASTQ   DNA   11,105,064  1,673,376,293       36    150.7      151
output/micro_fastq/micro_IG082_R1.fastq.gz  FASTQ   DNA   26,368,245  3,972,385,517       36    150.7      151
output/micro_fastq/micro_IG082_R2.fastq.gz  FASTQ   DNA   26,368,245  3,972,391,479       36    150.7      151
output/micro_fastq/micro_IG083_R1.fastq.gz  FASTQ   DNA   21,805,799  3,283,220,146       36    150.6      151
output/micro_fastq/micro_IG083_R2.fastq.gz  FASTQ   DNA   21,805,799  3,283,224,780       36    150.6      151
output/micro_fastq/micro_IG084_R1.fastq.gz  FASTQ   DNA   20,812,572  3,131,503,782       36    150.5      151
output/micro_fastq/micro_IG084_R2.fastq.gz  FASTQ   DNA   20,812,572  3,131,508,219       36    150.5      151
output/micro_fastq/micro_IG085_R1.fastq.gz  FASTQ   DNA   16,359,644  2,461,207,887       36    150.4      151
output/micro_fastq/micro_IG085_R2.fastq.gz  FASTQ   DNA   16,359,644  2,461,211,485       36    150.4      151
output/micro_fastq/micro_IG087_R1.fastq.gz  FASTQ   DNA   14,932,692  2,243,197,332       36    150.2      151
output/micro_fastq/micro_IG087_R2.fastq.gz  FASTQ   DNA   14,932,692  2,243,200,522       36    150.2      151
output/micro_fastq/micro_IG089_R1.fastq.gz  FASTQ   DNA    8,919,344  1,345,251,323       36    150.8      151
output/micro_fastq/micro_IG089_R2.fastq.gz  FASTQ   DNA    8,919,344  1,345,252,952       36    150.8      151
output/micro_fastq/micro_IG090_R1.fastq.gz  FASTQ   DNA   21,714,226  3,269,488,490       36    150.6      151
output/micro_fastq/micro_IG090_R2.fastq.gz  FASTQ   DNA   21,714,226  3,269,493,330       36    150.6      151
output/micro_fastq/micro_IG091_R1.fastq.gz  FASTQ   DNA   15,619,626  2,344,841,073       36    150.1      151
output/micro_fastq/micro_IG091_R2.fastq.gz  FASTQ   DNA   15,619,626  2,344,844,282       36    150.1      151
output/micro_fastq/micro_IG092_R1.fastq.gz  FASTQ   DNA    8,473,897  1,276,069,158       36    150.6      151
output/micro_fastq/micro_IG092_R2.fastq.gz  FASTQ   DNA    8,473,897  1,276,070,964       36    150.6      151
output/micro_fastq/micro_IG093_R1.fastq.gz  FASTQ   DNA   31,123,563  4,680,941,978       36    150.4      151
output/micro_fastq/micro_IG093_R2.fastq.gz  FASTQ   DNA   31,123,563  4,680,949,016       36    150.4      151
output/micro_fastq/micro_IG094_R1.fastq.gz  FASTQ   DNA   19,646,192  2,957,399,236       36    150.5      151
output/micro_fastq/micro_IG094_R2.fastq.gz  FASTQ   DNA   19,646,192  2,957,403,374       36    150.5      151
output/micro_fastq/micro_IG095_R1.fastq.gz  FASTQ   DNA   26,297,664  3,957,045,611       36    150.5      151
output/micro_fastq/micro_IG095_R2.fastq.gz  FASTQ   DNA   26,297,664  3,957,051,443       36    150.5      151
output/micro_fastq/micro_IG096_R1.fastq.gz  FASTQ   DNA   19,259,005  2,898,189,140       36    150.5      151
output/micro_fastq/micro_IG096_R2.fastq.gz  FASTQ   DNA   19,259,005  2,898,193,139       36    150.5      151
output/micro_fastq/micro_IG099_R1.fastq.gz  FASTQ   DNA   13,137,176  1,976,294,229       36    150.4      151
output/micro_fastq/micro_IG099_R2.fastq.gz  FASTQ   DNA   13,137,176  1,976,296,902       36    150.4      151
output/micro_fastq/micro_IG101_R1.fastq.gz  FASTQ   DNA    9,864,788  1,486,706,337       36    150.7      151
output/micro_fastq/micro_IG101_R2.fastq.gz  FASTQ   DNA    9,864,788  1,486,708,429       36    150.7      151
output/micro_fastq/micro_IG102_R1.fastq.gz  FASTQ   DNA    5,340,891    805,967,657       36    150.9      151
output/micro_fastq/micro_IG102_R2.fastq.gz  FASTQ   DNA    5,340,891    805,968,520       36    150.9      151
output/micro_fastq/micro_IG103_R1.fastq.gz  FASTQ   DNA   17,045,674  2,570,982,214       36    150.8      151
output/micro_fastq/micro_IG103_R2.fastq.gz  FASTQ   DNA   17,045,674  2,570,985,991       36    150.8      151
output/micro_fastq/micro_IG104_R1.fastq.gz  FASTQ   DNA   21,872,345  3,296,026,066       36    150.7      151
output/micro_fastq/micro_IG104_R2.fastq.gz  FASTQ   DNA   21,872,345  3,296,030,592       36    150.7      151
output/micro_fastq/micro_IG105_R1.fastq.gz  FASTQ   DNA   24,741,820  3,730,411,037       36    150.8      151
output/micro_fastq/micro_IG105_R2.fastq.gz  FASTQ   DNA   24,741,820  3,730,416,281       36    150.8      151
output/micro_fastq/micro_IG106_R1.fastq.gz  FASTQ   DNA   20,563,772  3,100,835,090       36    150.8      151
output/micro_fastq/micro_IG106_R2.fastq.gz  FASTQ   DNA   20,563,772  3,100,839,332       36    150.8      151
output/micro_fastq/micro_IG107_R1.fastq.gz  FASTQ   DNA   18,063,736  2,721,551,907       36    150.7      151
output/micro_fastq/micro_IG107_R2.fastq.gz  FASTQ   DNA   18,063,736  2,721,555,892       36    150.7      151
output/micro_fastq/micro_IG108_R1.fastq.gz  FASTQ   DNA   16,586,837  2,500,052,682       36    150.7      151
output/micro_fastq/micro_IG108_R2.fastq.gz  FASTQ   DNA   16,586,837  2,500,056,307       36    150.7      151
output/micro_fastq/micro_IG110_R1.fastq.gz  FASTQ   DNA    7,797,591  1,174,687,365       36    150.6      151
output/micro_fastq/micro_IG110_R2.fastq.gz  FASTQ   DNA    7,797,591  1,174,688,931       36    150.6      151
output/micro_fastq/micro_IG111_R1.fastq.gz  FASTQ   DNA   16,513,283  2,487,053,865       36    150.6      151
output/micro_fastq/micro_IG111_R2.fastq.gz  FASTQ   DNA   16,513,283  2,487,057,333       36    150.6      151
output/micro_fastq/micro_IG112_R1.fastq.gz  FASTQ   DNA   17,646,618  2,660,261,970       36    150.8      151
output/micro_fastq/micro_IG112_R2.fastq.gz  FASTQ   DNA   17,646,618  2,660,265,625       36    150.8      151
output/micro_fastq/micro_IG113_R1.fastq.gz  FASTQ   DNA   10,154,003  1,411,934,681       36    139.1      151
output/micro_fastq/micro_IG113_R2.fastq.gz  FASTQ   DNA   10,154,003  1,411,927,666       36    139.1      151
output/micro_fastq/micro_IG114_R1.fastq.gz  FASTQ   DNA   23,108,999  3,174,369,678       36    137.4      151
output/micro_fastq/micro_IG114_R2.fastq.gz  FASTQ   DNA   23,108,999  3,174,353,903       36    137.4      151
output/micro_fastq/micro_IG116_R1.fastq.gz  FASTQ   DNA    9,456,667  1,367,573,072       36    144.6      151
output/micro_fastq/micro_IG116_R2.fastq.gz  FASTQ   DNA    9,456,667  1,367,566,631       36    144.6      151
output/micro_fastq/micro_IG118_R1.fastq.gz  FASTQ   DNA    6,500,033    834,575,553       36    128.4      151
output/micro_fastq/micro_IG118_R2.fastq.gz  FASTQ   DNA    6,500,033    834,570,829       36    128.4      151
output/micro_fastq/micro_IG119_R1.fastq.gz  FASTQ   DNA   10,238,249  1,516,569,619       36    148.1      151
output/micro_fastq/micro_IG119_R2.fastq.gz  FASTQ   DNA   10,238,249  1,516,563,205       36    148.1      151
output/micro_fastq/micro_IG120_R1.fastq.gz  FASTQ   DNA   13,014,252  1,902,184,922       36    146.2      151
output/micro_fastq/micro_IG120_R2.fastq.gz  FASTQ   DNA   13,014,252  1,902,176,230       36    146.2      151
